timestamp,src_ip,dst_ip,proto,sport,dport,flags,status
1759939943.572203,172.29.0.1,224.0.0.251,17,5353,5353,0,OK
1759939943.573293,,,0,0,0,0,NON_IPv4
1759939945.077213,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939946.077503,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939947.077645,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939948.078144,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939949.078362,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939950.078763,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939950.088621,,,0,0,0,0,NON_IPv4
1759939950.089077,,,0,0,0,0,NON_IPv4
1759939951.078978,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939952.079422,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939953.079660,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939954.079888,172.29.14.36,8.8.8.8,6,0,0,0,TRUNC_L4
1759939955.582416,172.29.0.1,224.0.0.251,17,5353,5353,0,OK
1759939955.584315,,,0,0,0,0,NON_IPv4
1759939961.004936,172.29.14.36,8.8.8.8,6,2383,80,41,OK
1759939962.005171,172.29.14.36,8.8.8.8,6,2384,80,41,OK
1759939963.005745,172.29.14.36,8.8.8.8,6,2385,80,41,OK
1759939964.006086,172.29.14.36,8.8.8.8,6,2386,80,41,OK
1759939965.006299,172.29.14.36,8.8.8.8,6,2387,80,41,OK
1759939972.320995,172.29.14.36,8.8.8.8,6,2177,80,1,OK
1759939973.321332,172.29.14.36,8.8.8.8,6,2178,80,1,OK
1759939974.321597,172.29.14.36,8.8.8.8,6,2179,80,1,OK
1759939974.920582,172.29.14.36,140.82.114.22,6,43914,443,16,OK
1759939975.072843,140.82.114.22,172.29.14.36,6,443,43914,16,OK
1759939975.169731,172.29.14.36,169.254.169.254,6,55492,80,2,OK
1759939975.321845,172.29.14.36,8.8.8.8,6,2180,80,1,OK
1759939976.200689,172.29.14.36,169.254.169.254,6,55492,80,2,OK
1759939976.322214,172.29.14.36,8.8.8.8,6,2181,80,1,OK
1759939977.224534,172.29.14.36,169.254.169.254,6,55492,80,2,OK
1759939977.480614,,,0,0,0,0,NON_IPv4
1759939977.481440,,,0,0,0,0,NON_IPv4
1759939979.620112,,,0,0,0,0,NON_IPv4
1759939979.620138,,,0,0,0,0,NON_IPv4
