timestamp,src_ip,dst_ip,proto,sport,dport,rule
1759939945.077213,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939946.077503,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939947.077645,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939948.078144,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939949.078362,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939950.078763,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939951.078978,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939952.079422,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939953.079660,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939954.079888,172.29.14.36,8.8.8.8,6,0,0,TCP_NULL,INFO
1759939961.004936,172.29.14.36,8.8.8.8,6,2383,80,TCP_XMAS,WARN
1759939961.004936,172.29.14.36,8.8.8.8,6,2383,80,TCP_FIN,WARN
1759939962.005171,172.29.14.36,8.8.8.8,6,2384,80,TCP_XMAS,WARN
1759939962.005171,172.29.14.36,8.8.8.8,6,2384,80,TCP_FIN,WARN
1759939963.005745,172.29.14.36,8.8.8.8,6,2385,80,TCP_XMAS,WARN
1759939963.005745,172.29.14.36,8.8.8.8,6,2385,80,TCP_FIN,WARN
1759939964.006086,172.29.14.36,8.8.8.8,6,2386,80,TCP_XMAS,WARN
1759939964.006086,172.29.14.36,8.8.8.8,6,2386,80,TCP_FIN,WARN
1759939965.006299,172.29.14.36,8.8.8.8,6,2387,80,TCP_XMAS,WARN
1759939965.006299,172.29.14.36,8.8.8.8,6,2387,80,TCP_FIN,WARN
1759939972.320995,172.29.14.36,8.8.8.8,6,2177,80,TCP_FIN,WARN
1759939973.321332,172.29.14.36,8.8.8.8,6,2178,80,TCP_FIN,WARN
1759939974.321597,172.29.14.36,8.8.8.8,6,2179,80,TCP_FIN,WARN
1759939975.321845,172.29.14.36,8.8.8.8,6,2180,80,TCP_FIN,WARN
1759939976.322214,172.29.14.36,8.8.8.8,6,2181,80,TCP_FIN,WARN
